codigo_ocorrencia,ocorrencia_classificacao,ocorrencia_cidade,ocorrencia_uf,ocorrencia_aerodromo,ocorrencia_dia,ocorrencia_hora,total_recomendacoes,total_aeronaves_envolvidas,ocorrencia_saida_pista
40211,INCIDENTE,RIO DE JANEIRO,RJ,****,03/01/2010,12:00:00,0,1,NÃO
40349,INCIDENTE,BELÉM,PA,SBBE,03/01/2010,11:05:00,0,1,NÃO
40351,INCIDENTE,RIO DE JANEIRO,RJ,SBRJ,03/01/2010,03:00:00,0,1,NÃO
39527,ACIDENTE,LUCAS DO RIO VERDE,MT,****,04/01/2010,17:30:00,0,1,NÃO
40324,INCIDENTE,PELOTAS,RS,SBPK,05/01/2010,19:25:00,0,1,NÃO
39807,INCIDENTE,SALVADOR,BA,****,06/01/2010,17:53:00,0,1,NÃO
40215,INCIDENTE,COARI,AM,SBUY,07/01/2010,18:40:00,0,1,SIM
39707,INCIDENTE GRAVE,CANUTAMA,AM,****,09/01/2010,12:30:00,3,1,NÃO
39156,INCIDENTE GRAVE,CASCAVEL,PR,SBCA,10/01/2010,23:15:00,2,1,NÃO
39711,INCIDENTE GRAVE,PARÁ DE MINAS,MG,****,10/01/2010,20:00:00,0,1,NÃO
39789,INCIDENTE,SÃO PEDRO DO SUL,RS,****,10/01/2010,21:30:00,0,1,NÃO
40069,ACIDENTE,SÃO PAULO,SP,SBMT,10/01/2010,14:50:00,8,1,NÃO
40414,INCIDENTE,BRASÍLIA,DF,SBBR,10/01/2010,03:00:00,0,1,NÃO
39507,ACIDENTE,PRIMAVERA DO LESTE,MT,****,11/01/2010,17:00:00,2,1,NÃO
40107,ACIDENTE,GURUPÁ,PA,SNGU,12/01/2010,14:30:00,0,1,NÃO
39315,ACIDENTE,CANUTAMA,AM,****,15/01/2010,21:22:00,0,1,NÃO
39809,INCIDENTE,SÃO PAULO,SP,****,15/01/2010,15:00:00,0,1,NÃO
39810,INCIDENTE,SALVADOR,BA,****,15/01/2010,18:23:00,0,1,NÃO
39828,INCIDENTE,SANTOS,SP,****,15/01/2010,17:45:00,0,1,NÃO
44575,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,17/01/2010,12:27:00,0,1,NÃO
40310,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,18/01/2010,19:32:00,0,1,NÃO
39320,ACIDENTE,FAROL,PR,****,19/01/2010,18:30:00,4,1,NÃO
39851,INCIDENTE,PASSO FUNDO,RS,SBPF,19/01/2010,03:00:00,0,1,NÃO
40311,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,13:20:00,0,1,NÃO
41577,INCIDENTE,RIO DE JANEIRO,RJ,****,19/01/2010,12:16:00,0,1,NÃO
39772,INCIDENTE,UBERLÂNDIA,MG,****,20/01/2010,18:58:00,0,1,NÃO
39847,INCIDENTE,SOROCABA,SP,****,20/01/2010,13:10:00,0,1,NÃO
39768,INCIDENTE,CAMPINAS,SP,****,21/01/2010,20:45:00,0,1,NÃO
39321,ACIDENTE,PONTES E LACERDA,MT,****,23/01/2010,13:00:00,2,1,NÃO
39709,INCIDENTE GRAVE,CURITIBA,PR,SBBI,23/01/2010,16:36:00,2,1,SIM
39849,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,23/01/2010,03:30:00,0,1,NÃO
39323,ACIDENTE,CASIMIRO DE ABREU,RJ,****,24/01/2010,16:15:00,0,1,NÃO
39318,ACIDENTE,SENADOR JOSÉ PORFÍRIO,PA,****,25/01/2010,16:20:00,5,1,NÃO
39848,INCIDENTE,GUARULHOS,SP,SBGR,25/01/2010,17:05:00,0,1,NÃO
39322,ACIDENTE,SÃO BERNARDO DO CAMPO,SP,****,26/01/2010,13:50:00,2,1,NÃO
39487,INCIDENTE GRAVE,PALMAS,TO,SBPJ,26/01/2010,16:50:00,0,1,NÃO
39850,INCIDENTE,BELÉM,PA,SBJC,26/01/2010,14:30:00,0,1,NÃO
39319,ACIDENTE,IPERÓ,SP,****,27/01/2010,11:25:00,3,1,NÃO
39627,INCIDENTE,FLORIANÓPOLIS,SC,SBFL,27/01/2010,16:15:00,0,1,NÃO
40617,INCIDENTE,RIO DE JANEIRO,RJ,SBGL,27/01/2010,20:06:00,0,1,NÃO
39158,INCIDENTE,BELÉM,PA,****,28/01/2010,16:00:00,0,1,NÃO
39687,INCIDENTE GRAVE,PORTO UNIÃO,SC,****,28/01/2010,10:30:00,1,1,NÃO
39747,INCIDENTE,CAIRU,BA,SNCL,31/01/2010,19:47:00,4,1,NÃO
39787,INCIDENTE,GOIÂNIA,GO,SBGO,31/01/2010,21:00:00,0,1,SIM
39748,INCIDENTE,CAMBÉ,PR,****,03/02/2010,14:30:00,0,1,NÃO
39316,ACIDENTE,RIO DO OESTE,SC,****,04/02/2010,17:55:00,2,1,NÃO
39155,INCIDENTE,BELO HORIZONTE,MG,****,05/02/2010,12:55:00,0,1,NÃO
39176,INCIDENTE,SÃO LUÍS,MA,****,05/02/2010,09:30:00,0,1,NÃO
39235,ACIDENTE,ITUMBIARA,GO,****,06/02/2010,17:20:00,3,1,NÃO
39295,ACIDENTE,RIO DE JANEIRO,RJ,****,06/02/2010,21:09:00,0,1,NÃO
40207,INCIDENTE,CRUZEIRO DO SUL,AC,SBCZ,06/02/2010,22:30:00,0,1,NÃO
39115,ACIDENTE,CORRENTINA,BA,SNTY,07/02/2010,17:40:00,2,1,NÃO
39367,INCIDENTE,SÃO JOSÉ DO RIO PRETO,SP,SBSR,07/02/2010,22:59:00,0,1,NÃO
39405,ACIDENTE,ITIQUIRA,MT,****,07/02/2010,11:30:00,1,1,NÃO
40290,INCIDENTE,VITÓRIA,ES,SBVT,07/02/2010,02:09:00,0,1,NÃO
39178,INCIDENTE,CAMPINAS,SP,****,08/02/2010,12:33:00,0,1,NÃO
39972,INCIDENTE,POÇOS DE CALDAS,MG,SBPC,08/02/2010,13:55:00,0,1,NÃO
39969,INCIDENTE,SALVADOR,BA,SBSV,09/02/2010,23:50:00,4,1,NÃO
